"_language";"English"
"job/W_BUILD_CORRAL";"Building a corral";"crwdns73616:0crwdne73616:0"
"job/W_BUILD_FIELD";"Building a field";"crwdns73617:0crwdne73617:0"
"job/W_BUILD_HOUSE";"Repairing the house";"crwdns73618:0crwdne73618:0"
"job/W_BUILD_ORCHARD";"Digging a hole";"crwdns73619:0crwdne73619:0"
"job/W_BUILD_PATCH";"Hoeing a patch";"crwdns73620:0crwdne73620:0"
"job/W_CLEAR_ORCHARD";"Cutting down a tree";"crwdns73621:0crwdne73621:0"
"job/W_CLEAR_STONES_WILD";"Clearing stones";"crwdns73622:0crwdne73622:0"
"job/W_CLEAR_TREES_WILD";"Cutting down trees";"crwdns73623:0crwdne73623:0"
"job/W_CLEAR_WILD";"Clearing a tile";"crwdns73624:0crwdne73624:0"
"job/W_HARVEST_BUSH";"Picking berries";"crwdns73625:0crwdne73625:0"
"job/W_HARVEST_COOP";"Collecting eggs";"crwdns73626:0crwdne73626:0"
"job/W_HARVEST_FIELD";"Harvesting";"crwdns73627:0crwdne73627:0"
"job/W_HARVEST_FISH";"Fishing";"crwdns73628:0crwdne73628:0"
"job/W_HARVEST_ORCHARD";"Harvesting fruits";"crwdns73629:0crwdne73629:0"
"job/W_HARVEST_PATCH";"Harvesting vegetables";"crwdns73630:0crwdne73630:0"
"job/W_MAINTAIN_COOP";"Feeding hens";"crwdns73631:0crwdne73631:0"
"job/W_MAINTAIN_CORRAL";"Livestock maintenance";"crwdns73632:0crwdne73632:0"
"job/W_MAINTAIN_ORCHARD";"Orchard maintenance";"crwdns73633:0crwdne73633:0"
"job/W_PLANT_ORCHARD";"Planting a tree";"crwdns73634:0crwdne73634:0"
"job/W_PLANT_PATCH";"Planting vegetables";"crwdns73635:0crwdne73635:0"
"job/W_PLOUGH_FIELD";"Ploughing a field";"crwdns73636:0crwdne73636:0"
"job/W_PLOUGH_PATCH";"Ploughing a patch";"crwdns73637:0crwdne73637:0"
"job/W_SOW_FIELD";"Sowing a field";"crwdns73638:0crwdne73638:0"
"job/W_WATER_PATCH";"Watering a patch";"crwdns73639:0crwdne73639:0"
"job/W_WEED_PATCH";"Weeding a patch";"crwdns73640:0crwdne73640:0"
"launcher/defaultinfo";"Hey, you seem to be offline. When you are online, you can get updated information about the game. It could be important.";"crwdns73641:0crwdne73641:0"
"launcher/demo";"Demo version";"crwdns73642:0crwdne73642:0"
"launcher/demo/text";"This is a demo version. If you like this game, why not upgrade to the full version? Visit our website for more information.";"crwdns73643:0crwdne73643:0"
"launcher/forceupdate";"Check for updates";"crwdns73644:0crwdne73644:0"
"launcher/fullscreen";"Fullscreen";"crwdns73645:0crwdne73645:0"
"launcher/info/header";"Hello,";"crwdns73646:0crwdne73646:0"
"launcher/info/text";"We're looking for help on the farm... Do you have a while? This game is auto-updated if you are connected to the internet. You will be asked to allow installation of updates.";"crwdns73647:0crwdne73647:0"
"launcher/opengl";"If you experience problems with DirectX, use the OpenGL renderer instead.";"crwdns73648:0crwdne73648:0"
"launcher/play";"Play!";"crwdns73649:0crwdne73649:0"
"launcher/update";"Update!";"crwdns73650:0crwdne73650:0"
"launcher/website";"Visit website";"crwdns73651:0crwdne73651:0"
"launcher/win32updater/AlreadyUpToDate";"You already have the latest version";"crwdns73652:0crwdne73652:0"
"launcher/win32updater/Checking";"Checking for updates";"crwdns73653:0crwdne73653:0"
"launcher/win32updater/Downloading";"Downloading update";"crwdns73654:0crwdne73654:0"
"launcher/win32updater/Extracting";"Extracting update";"crwdns73655:0crwdne73655:0"
"launcher/win32updater/FailedToCheck";"Failed to check for updates.";"crwdns73656:0crwdne73656:0"
"launcher/win32updater/FailedToDownload";"Failed to download the update.";"crwdns73657:0crwdne73657:0"
"launcher/win32updater/FailedToExtract";"Failed to extract the update.";"crwdns73658:0crwdne73658:0"
"launcher/win32updater/HideMenu";"Hide";"crwdns73659:0crwdne73659:0"
"launcher/win32updater/InstallOnNextStart";"Update will be installed the next time you start the game.";"crwdns73660:0crwdne73660:0"
"launcher/win32updater/StopChecking";"Stop checking for updates for now";"crwdns73661:0crwdne73661:0"
"launcher/win32updater/StopDownloading";"Stop downloading update for now";"crwdns73662:0crwdne73662:0"
"launcher/win32updater/StopExtracting";"Stop extracting update for now";"crwdns73663:0crwdne73663:0"
"launcher/win32updater/SuccessfullyUpdated";"Successfully updated to %version%";"crwdns73664:0%version%crwdne73664:0"
"launcher/win32updater/UpdateAvailable";"Update is ready to be installed.";"crwdns73665:0crwdne73665:0"
"launcher/win32updater/UpdateFailed";"Update failed to install.";"crwdns73666:0crwdne73666:0"
"launcher/win32updater/ViewChangesMenu";"View changes in version %version%";"crwdns73667:0%version%crwdne73667:0"
"plan/TC_COOP";"Henhouse";"crwdns73668:0crwdne73668:0"
"plan/TC_CORRAL";"Corral";"crwdns73669:0crwdne73669:0"
"plan/TC_CORRAL_COW";"Cow Corral";"crwdns73670:0crwdne73670:0"
"plan/TC_CORRAL_HORSE";"Horse Corral";"crwdns73671:0crwdne73671:0"
"plan/TC_CORRAL_SHEEP";"Sheep Pen";"crwdns73672:0crwdne73672:0"
"plan/TC_FIELD";"Field";"crwdns73673:0crwdne73673:0"
"plan/TC_ORCHARD";"Fruit Orchard";"crwdns73674:0crwdne73674:0"
"plan/TC_PARK";"Park";"crwdns73675:0crwdne73675:0"
"plan/TC_PATCH";"Vegetable Patch";"crwdns73676:0crwdne73676:0"
"plan/TC_WILD";"Woodland";"crwdns73677:0crwdne73677:0"
"prop/gazebo";"Nice picnic spot built for high society centuries ago. The village wasn't yet founded.";"crwdns73678:0crwdne73678:0"
"prop/latrine";"Let's give people some privacy in a small booth.";"crwdns73679:0crwdne73679:0"
"prop/religious";"A splendid shrine was once here. Vandals destroyed it.";"crwdns73680:0crwdne73680:0"
"prop/rockery";"There was a nice flower patch, but a goat destroyed it. We need to buy flowers.";"crwdns73681:0crwdne73681:0"
"prop/scarecrow";"This naked scarecrow has no respect whatsoever. He would like a suit.";"crwdns73682:0crwdne73682:0"
"prop/statue";"This was a statue of Venus, but now it's like ""where is my head?""";"crwdns73683:0crwdne73683:0"
"prop/well";"It's a disaster that this well was filled in. We need to call some digging experts.";"crwdns73684:0crwdne73684:0"
"quest/build";"Build the homestead";"crwdns73685:0crwdne73685:0"
"quest/build/info";"Build a number of $PARAM tiles ($NUM2 of $NUM1 remaining).";"crwdns73686:0$PARAMcrwdnd73686:0$NUM2crwdnd73686:0$NUM1crwdne73686:0"
"quest/buy";"Shopping";"crwdns73687:0crwdne73687:0"
"quest/buy/animal";"Livestock";"crwdns73688:0crwdne73688:0"
"quest/buy/animal/info";"Buy animal $PARAM ($NUM2 of $NUM1 remaining).";"crwdns73689:0$PARAMcrwdnd73689:0$NUM2crwdnd73689:0$NUM1crwdne73689:0"
"quest/buy/info";"Buy $PARAM ($NUM2 of $NUM1 remaining).";"crwdns73690:0$PARAMcrwdnd73690:0$NUM2crwdnd73690:0$NUM1crwdne73690:0"
"quest/commodity";"Order";"crwdns73691:0crwdne73691:0"
"quest/commodity/info";"We need to produce a certain amount of $PARAM ($NUM2 of $NUM1 remaining).";"crwdns73692:0$PARAMcrwdnd73692:0$NUM2crwdnd73692:0$NUM1crwdne73692:0"
"quest/completed";"completed";"crwdns73693:0crwdne73693:0"
"quest/food";"Favourite meal";"crwdns73694:0crwdne73694:0"
"quest/food/info";"Cook $NUM1 favourite meals ($NUM2 remaining).";"crwdns73695:0$NUM1crwdnd73695:0$NUM2crwdne73695:0"
"quest/growup";"Raise animals";"crwdns73696:0crwdne73696:0"
"quest/growup/info";"Raise a number of animals $PARAM ($NUM2 of $NUM1 remaining).";"crwdns73697:0$PARAMcrwdnd73697:0$NUM2crwdnd73697:0$NUM1crwdne73697:0"
"quest/house";"House repair";"crwdns73698:0crwdne73698:0"
"quest/house/info";"Repair house for new villagers.";"crwdns73699:0crwdne73699:0"
"quest/livestock";"Livestock";"crwdns73700:0crwdne73700:0"
"quest/livestock/info";"Have $NUM1 farm animals ($NUM2 remaining).";"crwdns73701:0$NUM1crwdnd73701:0$NUM2crwdne73701:0"
"quest/plant";"Plant";"crwdns73702:0crwdne73702:0"
"quest/plant/info";"Plant $PARAM $NUM1-times ($NUM2 remaining).";"crwdns73703:0$PARAMcrwdnd73703:0$NUM1crwdnd73703:0$NUM2crwdne73703:0"
"quest/valuation";"Rich farm";"crwdns73704:0crwdne73704:0"
"quest/valuation/info";"Have a farm valued at $NUM1.";"crwdns73705:0$NUM1crwdne73705:0"
"quest/wild";"Clearance";"crwdns73706:0crwdne73706:0"
"quest/wild/info";"Cut down old trees and clear rocks out of $NUM1 tiles ($NUM2 remaining).";"crwdns73707:0$NUM1crwdnd73707:0$NUM2crwdne73707:0"
"talk/anca/about1";"I like horses and sheep the most.";"crwdns73708:0crwdne73708:0"
"talk/anca/about2";"I would like to be an animal doctor.";"crwdns73709:0crwdne73709:0"
"talk/anca/about3";"I don't eat anything but organic food.";"crwdns73710:0crwdne73710:0"
"talk/anca/intro";"I would love to live on an organic farm.";"crwdns73711:0crwdne73711:0"
"talk/chat/dwarfs_reply1";"They are stamping like elephants.";"crwdns73712:0crwdne73712:0"
"talk/chat/dwarfs_reply2";"Traps don't seem to work on these little monsters.";"crwdns73713:0crwdne73713:0"
"talk/chat/dwarfs_reply3";"Do goblins live in holes or caves?";"crwdns73714:0crwdne73714:0"
"talk/chat/dwarfs_reply4";"So many goblins in the night. Any dungeons nearby?";"crwdns73715:0crwdne73715:0"
"talk/chat/dwarfs_reply5";"These freaks would crawl anywhere.";"crwdns73716:0crwdne73716:0"
"talk/chat/dwarfs_reply6";"Once I catch one of these, I will teach it manners!";"crwdns73717:0crwdne73717:0"
"talk/chat/food-fav1";"I will finish it if you have any scraps left.";"crwdns73718:0crwdne73718:0"
"talk/chat/food-hate-fatman";"You are a snob. I eat anything they give me.";"crwdns73719:0crwdne73719:0"
"talk/chat/food-hate1";"Different strokes for different folks.";"crwdns73720:0crwdne73720:0"
"talk/chat/food-hate2";"If you don't like gruel, don't say it's not good.";"crwdns73721:0crwdne73721:0"
"talk/chat/food-hate3";"Hunger is the best spice.";"crwdns73722:0crwdne73722:0"
"talk/chat/game1";"I'm grateful for the opportunity to act in this simulation.";"crwdns73723:0crwdne73723:0"
"talk/chat/game2";"What about giving this a 5-star review in the AppStore?";"crwdns73724:0crwdne73724:0"
"talk/chat/game3";"I hope that my part in this comedy will make me famous.";"crwdns73725:0crwdne73725:0"
"talk/chat/job-critical1";"Good job, you rock!";"crwdns73726:0crwdne73726:0"
"talk/chat/job-critical2";"Love working with you!";"crwdns73727:0crwdne73727:0"
"talk/chat/job-regular-song_reply";"If you are really good, you will get out of it.";"crwdns73728:0crwdne73728:0"
"talk/chat/smell_reply1";"I smell it, too. Someone hasn't taken a shower for ages.";"crwdns73729:0crwdne73729:0"
"talk/chat/smell_reply2";"That's the smell of the countryside.";"crwdns73730:0crwdne73730:0"
"talk/chat/smoking_reply1";"Don't smoke! Eat a carrot instead.";"crwdns73731:0crwdne73731:0"
"talk/chat/smoking_reply2";"Be careful with fire. Straw catches fire easily.";"crwdns73732:0crwdne73732:0"
"talk/chat/welcome";"Welcome!";"crwdns73733:0crwdne73733:0"
"talk/dwarfs1";"Have you heard goblins raising hell at night?";"crwdns73734:0crwdne73734:0"
"talk/dwarfs2";"It's been completely trampled down by these midgets!";"crwdns73735:0crwdne73735:0"
"talk/dwarfs3";"A goblin has been making faces at me through my window.";"crwdns73736:0crwdne73736:0"
"talk/elvis/about1";"It's too hot for me in town. Nice hideout here.";"crwdns73737:0crwdne73737:0"
"talk/elvis/about2";"It was love at first sight.";"crwdns73738:0crwdne73738:0"
"talk/elvis/intro";"I need a hideout for a while. What about here?";"crwdns73739:0crwdne73739:0"
"talk/elvis/smoking";"Goodfolks, can anyone spare me a cigarette?";"crwdns73740:0crwdne73740:0"
"talk/evening1";"Red sky at night: shepherd's delight.";"crwdns73741:0crwdne73741:0"
"talk/evening2";"I'm going to sleep like the dead.";"crwdns73742:0crwdne73742:0"
"talk/exhausted1";"I'm exhausted. Give me a break!";"crwdns73743:0crwdne73743:0"
"talk/exhausted2";"I'm taking a break!";"crwdns73744:0crwdne73744:0"
"talk/fatigue1";"I'm sweating like a pig.";"crwdns73745:0crwdne73745:0"
"talk/fatigue2";"I can barely move.";"crwdns73746:0crwdne73746:0"
"talk/fatigue3";"I need to rest now!";"crwdns73747:0crwdne73747:0"
"talk/food-cancel";"OK, I will just finish my meal.";"crwdns73748:0crwdne73748:0"
"talk/food-eaten-fav";"Yummy! $FOOD is my favourite food!";"crwdns73749:0$FOODcrwdne73749:0"
"talk/food-eaten-hate";"I hate $FOOD! It's just not good for me.";"crwdns73750:0$FOODcrwdne73750:0"
"talk/food-fav1";"My favourite food? $FOOD definitely!";"crwdns73751:0$FOODcrwdne73751:0"
"talk/food-fav2";"I wonder if I could have a portion of $FOOD.";"crwdns73752:0$FOODcrwdne73752:0"
"talk/food-hate1";"I don't enjoy eating $FOOD much.";"crwdns73753:0$FOODcrwdne73753:0"
"talk/food-hate2";"I hope we are not having $FOOD today.";"crwdns73754:0$FOODcrwdne73754:0"
"talk/food0";"Eat to live, don't live to eat.";"crwdns73755:0crwdne73755:0"
"talk/food1";"Not bad. Could use a little ketchup.";"crwdns73756:0crwdne73756:0"
"talk/food2";"That was pretty tasty.";"crwdns73757:0crwdne73757:0"
"talk/food3";"Delicious!";"crwdns73758:0crwdne73758:0"
"talk/food4";"The food was fine.";"crwdns73759:0crwdne73759:0"
"talk/food5";"Yummy meal!";"crwdns73760:0crwdne73760:0"
"talk/food6";"I had a great meal!";"crwdns73761:0crwdne73761:0"
"talk/game";"This game is a work of art.";"crwdns73762:0crwdne73762:0"
"talk/grandma/about1";"I would like to retire if I could.";"crwdns73763:0crwdne73763:0"
"talk/grandma/about2";"He has a gift for driving me crazy.";"crwdns73764:0crwdne73764:0"
"talk/grandma/about3";"... leaky rooftop for years and his lordship doesn't care!";"crwdns73765:0crwdne73765:0"
"talk/grandma/intro";"I'm back from the town old man. Are you finished yet?";"crwdns73766:0crwdne73766:0"
"talk/grandma/intro_reply";"What the hell are you doing here?";"crwdns73767:0crwdne73767:0"
"talk/grandpa/about1";"Happy wife, happy life... This explains my tragedy.";"crwdns73768:0crwdne73768:0"
"talk/grandpa/about2";"I would like to restore this abandoned village.";"crwdns73769:0crwdne73769:0"
"talk/grandpa/about3";"I'm too young to retire, don't you agree?";"crwdns73770:0crwdne73770:0"
"talk/job-animal/petman1";"$ANIMAL is my favourite animal.";"crwdns73771:0$ANIMALcrwdne73771:0"
"talk/job-animal/petman2";"Hurrah! I love working with animals.";"crwdns73772:0crwdne73772:0"
"talk/job-animal1";"Something here stinks...";"crwdns73773:0crwdne73773:0"
"talk/job-animal2";"Don't stand behind the cow.";"crwdns73774:0crwdne73774:0"
"talk/job-animal3";"Wanna hear a joke? A giraffe walks into a bar...";"crwdns73775:0crwdne73775:0"
"talk/job-critical1";"I'm on the row!";"crwdns73776:0crwdne73776:0"
"talk/job-critical2";"Well done!";"crwdns73777:0crwdne73777:0"
"talk/job-regular-song";"If you are good, you will get all the work.";"crwdns73778:0crwdne73778:0"
"talk/job-regular/crash";"Haste makes waste.";"crwdns73779:0crwdne73779:0"
"talk/job-regular/lazy1";"When you don't know what to do, walk fast and look worried.";"crwdns73780:0crwdne73780:0"
"talk/job-regular/lazy2";"All work and no play makes Jack a dull boy.";"crwdns73781:0crwdne73781:0"
"talk/job-regular1";"Time is money.";"crwdns73782:0crwdne73782:0"
"talk/job-regular2";"No gain without pain.";"crwdns73783:0crwdne73783:0"
"talk/job-regular3";"If a thing is worth doing, it's worth doing well.";"crwdns73784:0crwdne73784:0"
"talk/lady/about1";"Maybe I will stay here for longer than I used to.";"crwdns73785:0crwdne73785:0"
"talk/lady/about2";"I'm not looking for another guy. Maybe later...";"crwdns73786:0crwdne73786:0"
"talk/lady/about3";"This is the coolest community I have ever been in.";"crwdns73787:0crwdne73787:0"
"talk/lady/intro";"Finally here! I've heard a lot about this place.";"crwdns73788:0crwdne73788:0"
"talk/mary/about1";"I love sunsets and red skies at night.";"crwdns73789:0crwdne73789:0"
"talk/mary/about2";"I no longer enjoyed living in the city.";"crwdns73790:0crwdne73790:0"
"talk/mary/intro";"What a place! I like it very much.";"crwdns73791:0crwdne73791:0"
"talk/mood0";"Is it really worth being here?";"crwdns73792:0crwdne73792:0"
"talk/mood1";"All work and bad food.";"crwdns73793:0crwdne73793:0"
"talk/mood2";"I'm fine. Thank you for asking.";"crwdns73794:0crwdne73794:0"
"talk/mood3";"What a lovely day this is.";"crwdns73795:0crwdne73795:0"
"talk/mood4";"Great food and nice weather. I'm loving it!";"crwdns73796:0crwdne73796:0"
"talk/morning1";"Every day is a new beginning.";"crwdns73797:0crwdne73797:0"
"talk/morning2";"Early bird gets the worm.";"crwdns73798:0crwdne73798:0"
"talk/sleep1";"The sun's setting. I'm going home.";"crwdns73799:0crwdne73799:0"
"talk/sleep2";"Make hay while the sun shines.";"crwdns73800:0crwdne73800:0"
"talk/sleep3";"Early to bed and early to rise makes a man healthy.";"crwdns73801:0crwdne73801:0"
"talk/smell";"Mm, what air... Can you smell it, too?";"crwdns73802:0crwdne73802:0"
"talk/sven/about1";"Here, it's me who is the boss! (illusion, isn't it?)";"crwdns73803:0crwdne73803:0"
"talk/sven/about2";"I wanted to settle down for a long time.";"crwdns73804:0crwdne73804:0"
"talk/sven/intro";"They closed down our factory. I'm looking for a job.";"crwdns73805:0crwdne73805:0"
"talk/vincenzo/about1";"Mamma mia! The food here is really horrid.";"crwdns73806:0crwdne73806:0"
"talk/vincenzo/about2";"I miss the sea. A fish pond is no substitute.";"crwdns73807:0crwdne73807:0"
"talk/vincenzo/intro";"Ciao! No jobs in the south. I hope not much work here.";"crwdns73808:0crwdne73808:0"
